AUS|F|1984|Chris Evert|2| USA|Helena Suková|9| TCH|6–7(4–7), 6–1, 6–3
AUS|F|1985|Martina Navratilova|2| USA|Chris Evert|1| USA|6–2, 4–6, 6–2
AUS|F|1987|Hana Mandlíková|2| TCH|Martina Navratilova|1| USA|7–5, 7–6(7–1)
AUS|F|1988|Steffi Graf|1| FRG|Chris Evert|3| USA|6–1, 7–6(7–3)
AUS|F|1989|Steffi Graf|1| FRG|Helena Suková|5| TCH|6–4, 6–4
AUS|F|1990|Steffi Graf|1| FRG|Mary Joe Fernández|6| USA|6–3, 6–4
AUS|F|1991|Monica Seles|2| YUG|Jana Novotná|10| TCH|5–7, 6–3, 6–1
AUS|F|1992|Monica Seles|1| YUG|Mary Joe Fernández|7| USA|6–2, 6–3
AUS|F|1993|Monica Seles|1| YUG|Steffi Graf|2| GER|4–6, 6–3, 6–2
AUS|F|1994|Steffi Graf|1| GER|Arantxa Sánchez Vicario|2| ESP|6–0, 6–2
AUS|F|1995|Mary Pierce|4| FRA|Arantxa Sánchez Vicario|1| ESP|6–3, 6–2
AUS|F|1996|Monica Seles|1| USA|Anke Huber|8| GER|6–4, 6–1
AUS|F|1997|Martina Hingis|4| SUI|Mary Pierce|0| FRA|6–2, 6–2
AUS|F|1998|Martina Hingis|1| SUI|Conchita Martínez|8| ESP|6–3, 6–3
AUS|F|1999|Martina Hingis|2| SUI|Amélie Mauresmo|0| FRA|6–2, 6–3
AUS|F|2000|Lindsay Davenport|2| USA|Martina Hingis|1| SUI|6–1, 7–5
AUS|F|2001|Jennifer Capriati|12| USA|Martina Hingis|1| SUI|6–4, 6–3
AUS|F|2002|Jennifer Capriati|1| USA|Martina Hingis|3| SUI|4–6, 7–6(9–7), 6–2
AUS|F|2003|Serena Williams|1| USA|Venus Williams|2| USA|7–6(7–4), 3–6, 6–4
AUS|F|2004|Justine Henin|1| BEL|Kim Clijsters|2| BEL|6–3, 4–6, 6–3
AUS|F|2005|Serena Williams|7| USA|Lindsay Davenport|1| USA|2–6, 6–3, 6–0
AUS|F|2006|Amélie Mauresmo|3| FRA|Justine Henin|8| BEL|6–1, 2–0 retired
AUS|F|2007|Serena Williams|0| USA|Maria Sharapova|1| RUS|6–1, 6–2
AUS|F|2008|Maria Sharapova|5| RUS|Ana Ivanovic|4| SRB|7–5, 6–3
AUS|F|2009|Serena Williams|2| USA|Dinara Safina|3| RUS|6–0, 6–3
AUS|F|2010|Serena Williams|1| USA|Justine Henin|0| BEL|6–4, 3–6, 6–2
AUS|F|2011|Kim Clijsters|3| BEL|Li Na|9| CHN|3–6, 6–3, 6–3
AUS|F|2012|Victoria Azarenka|3| BLR|Maria Sharapova|4| RUS|6–3, 6–0
AUS|F|2013|Victoria Azarenka|1| BLR|Li Na|6| CHN|4–6, 6–4, 6–3
AUS|F|2014|Li Na|4| CHN|Dominika Cibulková|20| SVK|7–6(7–3), 6–0
AUS|F|2015|Serena Williams|1| USA|Maria Sharapova|2| RUS|6–3, 7–6(7–5)
AUS|F|2016|Angelique Kerber|7| GER|Serena Williams|1| USA|6–4, 3–6, 6–4
AUS|F|2017|Serena Williams|2| USA|Venus Williams|13| USA|6–4, 6–4
AUS|F|2018|Caroline Wozniacki|2|DEN|Simona Halep|1|ROU|7-6(7-2), 3-6, 6-4
FRENCH|F|1968|Nancy Richey|5| USA|Ann Haydon Jones|2| GBR|5–7, 6–4, 6–1
FRENCH|F|1969|Margaret Court|1| AUS|Ann Haydon Jones|3| GBR|6–1, 4–6, 6–3
FRENCH|F|1970|Margaret Court|1| AUS|Helga Niessen|7| FRG|6–2, 6–4
FRENCH|F|1971|Evonne Goolagong|3| AUS|Helen Gourlay|0| AUS|6–3, 7–5
FRENCH|F|1972|Billie Jean King|3| USA|Evonne Goolagong|1| AUS|6–3, 6–3
FRENCH|F|1973|Margaret Court|1| AUS|Chris Evert|2| USA|6–7(5–7), 7–6(8–6), 6–4
FRENCH|F|1974|Chris Evert|1| USA|Olga Morozova|3| URS|6–1, 6–2
FRENCH|F|1975|Chris Evert|1| USA|Martina Navratilova|2| TCH|2–6, 6–2, 6–1
FRENCH|F|1976|Sue Barker|1| GBR|Renáta Tomanová|0| TCH|6–2, 0–6, 6–2
FRENCH|F|1977|Mima Jaušovec|1| YUG|Florența Mihai|0| ROU|6–2, 6–7(5–7), 6–1
FRENCH|F|1978|Virginia Ruzici|2| ROU|Mima Jaušovec|1| YUG|6–2, 6–2
FRENCH|F|1979|Chris Evert|1| USA|Wendy Turnbull|4| AUS|6–2, 6–0
FRENCH|F|1980|Chris Evert|1| USA|Virginia Ruzici|8| ROU|6–0, 6–3
FRENCH|F|1981|Hana Mandlíková|4| TCH|Sylvia Hanika|6| FRG|6–2, 6–4
FRENCH|F|1982|Martina Navratilova|2| USA|Andrea Jaeger|4| USA|7–6(8–6), 6–1
FRENCH|F|1983|Chris Evert|2| USA|Mima Jaušovec|0| YUG|6–1, 6–2
FRENCH|F|1984|Martina Navratilova|1| USA|Chris Evert|2| USA|6–3, 6–1
FRENCH|F|1985|Chris Evert|2| USA|Martina Navratilova|1| USA|6–3, 6–7(4–7), 7–5
FRENCH|F|1986|Chris Evert|2| USA|Martina Navratilova|1| USA|2–6, 6–3, 6–3
FRENCH|F|1987|Steffi Graf|2| FRG|Martina Navratilova|1| USA|6–4, 4–6, 8–6
FRENCH|F|1988|Steffi Graf|1| FRG|Natasha Zvereva|13| URS|6–0, 6–0
FRENCH|F|1989|Arantxa Sánchez Vicario|7| ESP|Steffi Graf|1| FRG|7–6(8–6), 3–6, 7–5
FRENCH|F|1990|Monica Seles|2| YUG|Steffi Graf|1| FRG|7–6(8–6), 6–4
FRENCH|F|1991|Monica Seles|1| YUG|Arantxa Sánchez Vicario|5| ESP|6–3, 6–4
FRENCH|F|1992|Monica Seles|1| YUG|Steffi Graf|2| GER|6–2, 3–6, 10–8
FRENCH|F|1993|Steffi Graf|1| GER|Mary Joe Fernández|5| USA|4–6, 6–2, 6–4
FRENCH|F|1994|Arantxa Sánchez Vicario|2| ESP|Mary Pierce|12| FRA|6–4, 6–4
FRENCH|F|1995|Steffi Graf|2| GER|Arantxa Sánchez Vicario|1| ESP|7–5, 4–6, 6–0
FRENCH|F|1996|Steffi Graf|1| GER|Arantxa Sánchez Vicario|4| ESP|6–3, 6–7(4–7), 10–8
FRENCH|F|1997|Iva Majoli|9| CRO|Martina Hingis|1| SUI|6–4, 6–2
FRENCH|F|1998|Arantxa Sánchez Vicario|4| ESP|Monica Seles|6| USA|7–6(7–5), 0–6, 6–2
FRENCH|F|1999|Steffi Graf|6| GER|Martina Hingis|1| SUI|4–6, 7–5, 6–2
FRENCH|F|2000|Mary Pierce|6| FRA|Conchita Martínez|5| ESP|6–2, 7–5
FRENCH|F|2001|Jennifer Capriati|4| USA|Kim Clijsters|12| BEL|1–6, 6–4, 12–10
FRENCH|F|2002|Serena Williams|3| USA|Venus Williams|2| USA|7–5, 6–3
FRENCH|F|2003|Justine Henin|4| BEL|Kim Clijsters|2| BEL|6–0, 6–4
FRENCH|F|2004|Anastasia Myskina|6| RUS|Elena Dementieva|9| RUS|6–1, 6–2
FRENCH|F|2005|Justine Henin|10| BEL|Mary Pierce|21| FRA|6–1, 6–1
FRENCH|F|2006|Justine Henin|5| BEL|Svetlana Kuznetsova|8| RUS|6–4, 6–4
FRENCH|F|2007|Justine Henin|1| BEL|Ana Ivanovic|7| SRB|6–1, 6–2
FRENCH|F|2008|Ana Ivanovic|2| SRB|Dinara Safina|13| RUS|6–4, 6–3
FRENCH|F|2009|Svetlana Kuznetsova|7| RUS|Dinara Safina|1| RUS|6–4, 6–2
FRENCH|F|2010|Francesca Schiavone|17| ITA|Samantha Stosur|7| AUS|6–4, 7–6(7–2)
FRENCH|F|2011|Li Na|6| CHN|Francesca Schiavone|5| ITA|6–4, 7–6(7–0)
FRENCH|F|2012|Maria Sharapova|2| RUS|Sara Errani|21| ITA|6–3, 6–2
FRENCH|F|2013|Serena Williams|1| USA|Maria Sharapova|2| RUS|6–4, 6–4
FRENCH|F|2014|Maria Sharapova|7| RUS|Simona Halep|4| ROU|6–4, 6–7(5–7), 6–4
FRENCH|F|2015|Serena Williams|1| USA|Lucie Šafářová|13| CZE|6–3, 6–7(2–7), 6–2
FRENCH|F|2016|Garbiñe Muguruza|4| ESP|Serena Williams|1| USA|7–5, 6–4
FRENCH|F|2017|Jeļena Ostapenko|0| LAT|Simona Halep|3| ROU|4–6, 6–4, 6–3
FRENCH| M|1968|Ken Rosewall|2| AUS|Rod Laver|1| AUS|6–3, 6–1, 2–6, 6–2
FRENCH| M|1969|Rod Laver|1| AUS|Ken Rosewall|4| AUS|6–4, 6–3, 6–4
FRENCH| M|1970|Jan Kodeš|7| TCH|Željko Franulović|5| YUG|6–2, 6–4, 6–0
FRENCH| M|1971|Jan Kodeš|1| TCH|Ilie Năstase|3| ROU|8–6, 6–2, 2–6, 7–5
FRENCH| M|1972|Andrés Gimeno|6| ESP|Patrick Proisy|9| FRA|4–6, 6–3, 6–1, 6–1
FRENCH| M|1973|Ilie Năstase|2| ROU|Nikola Pilić|0| YUG|6–3, 6–3, 6–0
FRENCH| M|1974|Björn Borg|3| SWE|Manuel Orantes|14| ESP|2–6, 6–7(1–7), 6–0, 6–1, 6–1
FRENCH| M|1975|Björn Borg|1| SWE|Guillermo Vilas|4| ARG|6–2, 6–3, 6–4
FRENCH| M|1976|Adriano Panatta|8| ITA|Harold Solomon|7| USA|6–1, 6–4, 4–6, 7–6(7–3)
FRENCH| M|1977|Guillermo Vilas|3| ARG|Brian Gottfried|5| USA|6–0, 6–3, 6–0
FRENCH| M|1978|Björn Borg|1| SWE|Guillermo Vilas|2| ARG|6–1, 6–1, 6–3
FRENCH| M|1979|Björn Borg|1| SWE|Víctor Pecci|0| PAR|6–3, 6–1, 6–7(6–8), 6–4
FRENCH| M|1980|Björn Borg|1| SWE|Vitas Gerulaitis|5| USA|6–4, 6–1, 6–2
FRENCH| M|1981|Björn Borg|1| SWE|Ivan Lendl|5| TCH|6–1, 4–6, 6–2, 3–6, 6–1
FRENCH| M|1982|Mats Wilander|0| SWE|Guillermo Vilas|3| ARG|1–6, 7–6(8–6), 6–0, 6–4
FRENCH| M|1983|Yannick Noah|6| FRA|Mats Wilander|5| SWE|6–2, 7–5, 7–6(7–3)
FRENCH| M|1984|Ivan Lendl|2| TCH|John McEnroe|1| USA|3–6, 2–6, 6–4, 7–5, 7–5
FRENCH| M|1985|Mats Wilander|4| SWE|Ivan Lendl|2| TCH|3–6, 6–4, 6–2, 6–2
FRENCH| M|1986|Ivan Lendl|1| TCH|Mikael Pernfors|0| SWE|6–3, 6–2, 6–4
FRENCH| M|1987|Ivan Lendl|1| TCH|Mats Wilander|4| SWE|7–5, 6–2, 3–6, 7–6(7–3)
FRENCH| M|1988|Mats Wilander|3| SWE|Henri Leconte|1| FRA|7–5, 6–2, 6–1
FRENCH| M|1989|Michael Chang|15| USA|Stefan Edberg|3| SWE|6–1, 3–6, 4–6, 6–4, 6–2
